Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-23 14:37:12,4,Tommy,0,0,0,0,0.15680474,0.71570575
2021-11-23 14:49:05,8,Tommy,0,0,0,0,0.26331362,0.6978131
2021-11-23 14:56:33,11,Matthias,1,0,0,0,0.51775146,0.82803184
2021-11-23 14:58:12,11,Will Stone,0,0,0,0,0.03254438,0.49005964
2021-11-23 15:51:51,12,Matthias,1,0,0,0,0.70414203,0.860835
2021-11-23 16:00:58,16,Grant,0,0,0,0,0.71597636,0.49403578
2021-11-23 16:03:40,17,Angel,0,0,0,0,0.32840237,0.67693835
2021-11-23 16:18:01,20,Dale,1,0,0,0,0.10355029,0.80715704
